Name,Max temp,Avrg temp,Min temp,Population,Age 0 to 4,Age 5 to 9,Age 10 to 14,Age 15 to 19,Age 20 to 24,Age 25 to 29,Age 30 to 34,Age 35 to 39,Age 40 to 44,Age 45 to 49,Age 50 to 54,Age 55 to 59,Age 60 to 64,Age 65 to 69,Age 70 to 74,Age 75 to 79,Age 80 to 84,Age 85+,BME,Budget,Percentage in 4 hours or less (type 1),Type 1 Departments - Major A&E
Barts Health NHS Trust,17,14,11,2855000,169696,170443,171728,156990,189001,252096,259234,235823,213839,190428,184061,163877,129617,98212,86221,60811,45223,43967,1427500,2010000000,0.649800806,24449
Barts Health NHS Trust,13,10,8,2855000,169696,170443,171728,156990,189001,252096,259234,235823,213839,190428,184061,163877,129617,98212,86221,60811,45223,43967,1427500,2010000000,0.634149584,24470
Barts Health NHS Trust,7,5,3,2855000,169696,170443,171728,156990,189001,252096,259234,235823,213839,190428,184061,163877,129617,98212,86221,60811,45223,43967,1427500,2010000000,0.609371919,24671
Barts Health NHS Trust,8,6,3,2882122,171308,172062,173359,158482,190796,254491,261696,238063,215870,192237,185810,165433,130848,99144,87040,61389,45652,44384,1441061,2105000000,0.701531894,22053
Barts Health NHS Trust,10,7,4,2882122,171308,172062,173359,158482,190796,254491,261696,238063,215870,192237,185810,165433,130848,99144,87040,61389,45652,44384,1441061,2105000000,0.658387932,21413
Barts Health NHS Trust,11,8,5,2882122,171308,172062,173359,158482,190796,254491,261696,238063,215870,192237,185810,165433,130848,99144,87040,61389,45652,44384,1441061,2105000000,0.681149021,23488
Barts Health NHS Trust,13,9,6,2882122,171308,172062,173359,158482,190796,254491,261696,238063,215870,192237,185810,165433,130848,99144,87040,61389,45652,44384,1441061,2105000000,0.732113832,21235
Barts Health NHS Trust,17,13,9,2882122,171308,172062,173359,158482,190796,254491,261696,238063,215870,192237,185810,165433,130848,99144,87040,61389,45652,44384,1441061,2105000000,0.679175583,24315
Barts Health NHS Trust,24,18,13,2882122,171308,172062,173359,158482,190796,254491,261696,238063,215870,192237,185810,165433,130848,99144,87040,61389,45652,44384,1441061,2105000000,0.701214123,23852
Barts Health NHS Trust,22,18,14,2882122,171308,172062,173359,158482,190796,254491,261696,238063,215870,192237,185810,165433,130848,99144,87040,61389,45652,44384,1441061,2105000000,0.703739997,24175
Barts Health NHS Trust,22,18,14,2882122,171308,172062,173359,158482,190796,254491,261696,238063,215870,192237,185810,165433,130848,99144,87040,61389,45652,44384,1441061,2105000000,0.692365626,22528
Barts Health NHS Trust,23,19,16,2882122,171308,172062,173359,158482,190796,254491,261696,238063,215870,192237,185810,165433,130848,99144,87040,61389,45652,44384,1441061,2105000000,0.679745773,23968
Barts Health NHS Trust,17,14,12,2882122,171308,172062,173359,158482,190796,254491,261696,238063,215870,192237,185810,165433,130848,99144,87040,61389,45652,44384,1441061,2105000000,0.668585992,24807
